2023-12-19 14:59:30,721 INFO ------------------Epoch: 1/15 start------------------
2023-12-19 14:59:43,048 INFO step 0: tp = 11.0, fp = 14.0, tn = 4.0, fn = 3.0, acc = 0.4688, mcc = 0.009524 
2023-12-19 15:02:55,545 INFO step 39: tp = 15.0, fp = 10.0, tn = 7.0, fn = 0.0, acc = 0.6875, mcc = 0.497050 
2023-12-19 15:02:57,223 INFO step 40: tp = 10.0, fp = 12.0, tn = 7.0, fn = 3.0, acc = 0.5312, mcc = 0.145854 
2023-12-19 15:02:57,354 INFO step/epoch: 40/1, training samples: 1312, train_loss = 0.8839 train_acc = 0.535061
2023-12-19 15:02:59,277 INFO step 41: tp = 15.0, fp = 10.0, tn = 2.0, fn = 5.0, acc = 0.5312, mcc = -0.097590 
2023-12-19 15:03:01,774 INFO step 42: tp = 12.0, fp = 11.0, tn = 6.0, fn = 3.0, acc = 0.5625, mcc = 0.169750 
2023-12-19 15:03:03,760 INFO step 43: tp = 11.0, fp = 16.0, tn = 5.0, fn = 0.0, acc = 0.5000, mcc = 0.311451 
2023-12-19 15:03:05,724 INFO step 44: tp = 12.0, fp = 11.0, tn = 5.0, fn = 4.0, acc = 0.5312, mcc = 0.069505 
2023-12-19 15:03:07,516 INFO step 45: tp = 14.0, fp = 6.0, tn = 4.0, fn = 8.0, acc = 0.5625, mcc = 0.034816 
2023-12-19 15:03:09,180 INFO step 46: tp = 9.0, fp = 9.0, tn = 6.0, fn = 8.0, acc = 0.4688, mcc = -0.071007 
2023-12-19 15:03:10,982 INFO step 47: tp = 8.0, fp = 15.0, tn = 4.0, fn = 5.0, acc = 0.3750, mcc = -0.190167 
2023-12-19 15:03:13,479 INFO step 48: tp = 14.0, fp = 11.0, tn = 4.0, fn = 3.0, acc = 0.5625, mcc = 0.108878 
2023-12-19 15:03:15,470 INFO step 49: tp = 10.0, fp = 9.0, tn = 8.0, fn = 5.0, acc = 0.5625, mcc = 0.139460 
2023-12-19 15:03:17,138 INFO step 50: tp = 10.0, fp = 8.0, tn = 8.0, fn = 6.0, acc = 0.5625, mcc = 0.125988 
2023-12-19 15:03:18,975 INFO step 51: tp = 10.0, fp = 15.0, tn = 3.0, fn = 4.0, acc = 0.4062, mcc = -0.142857 
2023-12-19 15:03:20,633 INFO step 52: tp = 10.0, fp = 6.0, tn = 7.0, fn = 9.0, acc = 0.5312, mcc = 0.063628 
2023-12-19 15:03:22,307 INFO step 53: tp = 10.0, fp = 7.0, tn = 7.0, fn = 8.0, acc = 0.5312, mcc = 0.055228 
2023-12-19 15:03:23,836 INFO step 54: tp = 8.0, fp = 10.0, tn = 9.0, fn = 5.0, acc = 0.5312, mcc = 0.088181 
2023-12-19 15:03:25,398 INFO step 55: tp = 8.0, fp = 8.0, tn = 11.0, fn = 5.0, acc = 0.5938, mcc = 0.190885 
2023-12-19 15:03:27,257 INFO step 56: tp = 12.0, fp = 10.0, tn = 4.0, fn = 6.0, acc = 0.5000, mcc = -0.050965 
2023-12-19 15:03:28,745 INFO step 57: tp = 5.0, fp = 10.0, tn = 11.0, fn = 6.0, acc = 0.5000, mcc = -0.020601 
2023-12-19 15:03:30,240 INFO step 58: tp = 4.0, fp = 5.0, tn = 8.0, fn = 15.0, acc = 0.3750, mcc = -0.190167 
2023-12-19 15:03:31,479 INFO step 59: tp = 8.0, fp = 4.0, tn = 14.0, fn = 6.0, acc = 0.6875, mcc = 0.357830 
2023-12-19 15:03:32,630 INFO step 60: tp = 2.0, fp = 1.0, tn = 10.0, fn = 19.0, acc = 0.3750, mcc = 0.007054 
2023-12-19 15:03:32,765 INFO step/epoch: 60/1, training samples: 1952, train_loss = 0.9186 train_acc = 0.527664
2023-12-19 15:03:34,497 INFO step 61: tp = 3.0, fp = 10.0, tn = 10.0, fn = 9.0, acc = 0.4062, mcc = -0.246432 
2023-12-19 15:03:36,122 INFO step 62: tp = 11.0, fp = 4.0, tn = 9.0, fn = 8.0, acc = 0.6250, mcc = 0.266966 
2023-12-19 15:03:37,596 INFO step 63: tp = 5.0, fp = 5.0, tn = 10.0, fn = 12.0, acc = 0.4688, mcc = -0.042220 
2023-12-19 15:03:39,195 INFO step 64: tp = 2.0, fp = 8.0, tn = 12.0, fn = 10.0, acc = 0.4375, mcc = -0.243709 
2023-12-19 15:03:40,997 INFO step 65: tp = 3.0, fp = 5.0, tn = 16.0, fn = 8.0, acc = 0.5938, mcc = 0.037987 
2023-12-19 15:03:42,630 INFO step 66: tp = 6.0, fp = 3.0, tn = 10.0, fn = 13.0, acc = 0.5000, mcc = 0.092872 
2023-12-19 15:03:43,990 INFO step 67: tp = 2.0, fp = 3.0, tn = 12.0, fn = 15.0, acc = 0.4375, mcc = -0.113183 
2023-12-19 15:03:45,355 INFO step 68: tp = 7.0, fp = 0.0, tn = 17.0, fn = 8.0, acc = 0.7500, mcc = 0.563323 
2023-12-19 15:03:46,818 INFO step 69: tp = 3.0, fp = 3.0, tn = 16.0, fn = 10.0, acc = 0.5938, mcc = 0.091698 
2023-12-19 15:03:48,414 INFO step 70: tp = 6.0, fp = 5.0, tn = 8.0, fn = 13.0, acc = 0.4375, mcc = -0.071170 
2023-12-19 15:03:49,534 INFO step 71: tp = 7.0, fp = 3.0, tn = 7.0, fn = 15.0, acc = 0.4375, mcc = 0.018182 
2023-12-19 15:03:50,858 INFO step 72: tp = 7.0, fp = 5.0, tn = 9.0, fn = 11.0, acc = 0.5000, mcc = 0.032530 
2023-12-19 15:03:51,976 INFO step 73: tp = 10.0, fp = 8.0, tn = 7.0, fn = 7.0, acc = 0.5312, mcc = 0.055228 
2023-12-19 15:03:53,192 INFO step 74: tp = 12.0, fp = 15.0, tn = 2.0, fn = 3.0, acc = 0.4375, mcc = -0.113183 
2023-12-19 15:03:54,547 INFO step 75: tp = 11.0, fp = 14.0, tn = 6.0, fn = 1.0, acc = 0.5312, mcc = 0.253734 
2023-12-19 15:03:55,663 INFO step 76: tp = 16.0, fp = 10.0, tn = 1.0, fn = 5.0, acc = 0.5312, mcc = -0.179106 
2023-12-19 15:03:56,780 INFO step 77: tp = 14.0, fp = 13.0, tn = 2.0, fn = 3.0, acc = 0.5000, mcc = -0.059286 
2023-12-19 15:03:58,344 INFO step 78: tp = 16.0, fp = 12.0, tn = 3.0, fn = 1.0, acc = 0.5938, mcc = 0.213021 
2023-12-19 15:03:59,610 INFO step 79: tp = 15.0, fp = 12.0, tn = 3.0, fn = 2.0, acc = 0.5625, mcc = 0.113183 
2023-12-19 15:04:01,174 INFO step 80: tp = 14.0, fp = 14.0, tn = 2.0, fn = 2.0, acc = 0.5000, mcc = 0.000000 
2023-12-19 15:04:01,307 INFO step/epoch: 80/1, training samples: 2592, train_loss = 0.9473 train_acc = 0.525463
2023-12-19 15:04:02,484 INFO step 81: tp = 11.0, fp = 18.0, tn = 2.0, fn = 1.0, acc = 0.4062, mcc = 0.027682 
2023-12-19 15:04:03,776 INFO step 82: tp = 12.0, fp = 16.0, tn = 0.0, fn = 4.0, acc = 0.3750, mcc = -0.377964 
2023-12-19 15:04:05,169 INFO step 83: tp = 11.0, fp = 14.0, tn = 3.0, fn = 4.0, acc = 0.4375, mcc = -0.108878 
2023-12-19 15:04:06,224 INFO step 84: tp = 13.0, fp = 11.0, tn = 6.0, fn = 2.0, acc = 0.5938, mcc = 0.253086 
2023-12-19 15:04:07,565 INFO step 85: tp = 13.0, fp = 12.0, tn = 5.0, fn = 2.0, acc = 0.5625, mcc = 0.194086 
2023-12-19 15:04:08,776 INFO step 86: tp = 16.0, fp = 9.0, tn = 5.0, fn = 2.0, acc = 0.6562, mcc = 0.295238 
2023-12-19 15:04:09,921 INFO step 87: tp = 8.0, fp = 15.0, tn = 3.0, fn = 6.0, acc = 0.3438, mcc = -0.288974 
2023-12-19 15:04:11,357 INFO step 88: tp = 10.0, fp = 9.0, tn = 7.0, fn = 6.0, acc = 0.5312, mcc = 0.063628 
2023-12-19 15:04:12,220 INFO step 89: tp = 12.0, fp = 6.0, tn = 8.0, fn = 6.0, acc = 0.6250, mcc = 0.238095 
2023-12-19 15:04:13,230 INFO step 90: tp = 12.0, fp = 5.0, tn = 6.0, fn = 9.0, acc = 0.5625, mcc = 0.111247 
2023-12-19 15:04:14,183 INFO step 91: tp = 7.0, fp = 9.0, tn = 8.0, fn = 8.0, acc = 0.4688, mcc = -0.062622 
2023-12-19 15:04:15,204 INFO step 92: tp = 7.0, fp = 11.0, tn = 6.0, fn = 8.0, acc = 0.4062, mcc = -0.181463 
2023-12-19 15:04:16,496 INFO step 93: tp = 9.0, fp = 10.0, tn = 7.0, fn = 6.0, acc = 0.5000, mcc = 0.011954 
2023-12-19 15:04:17,670 INFO step 94: tp = 11.0, fp = 4.0, tn = 8.0, fn = 9.0, acc = 0.5938, mcc = 0.210198 
2023-12-19 15:04:18,590 INFO step 95: tp = 11.0, fp = 8.0, tn = 8.0, fn = 5.0, acc = 0.5938, mcc = 0.190885 
2023-12-19 15:04:19,758 INFO step 96: tp = 10.0, fp = 9.0, tn = 9.0, fn = 4.0, acc = 0.5938, mcc = 0.216444 
2023-12-19 15:04:20,865 INFO step 97: tp = 10.0, fp = 10.0, tn = 6.0, fn = 6.0, acc = 0.5000, mcc = 0.000000 
2023-12-19 15:04:21,740 INFO step 98: tp = 9.0, fp = 10.0, tn = 9.0, fn = 4.0, acc = 0.5625, mcc = 0.165992 
2023-12-19 15:04:22,652 INFO step 99: tp = 8.0, fp = 9.0, tn = 6.0, fn = 9.0, acc = 0.4375, mcc = -0.129412 
2023-12-19 15:04:23,604 INFO step 100: tp = 11.0, fp = 2.0, tn = 10.0, fn = 9.0, acc = 0.6562, mcc = 0.377862 
2023-12-19 15:04:23,739 INFO step/epoch: 100/1, training samples: 3232, train_loss = 0.9106 train_acc = 0.524443
2023-12-19 15:04:24,433 INFO step 101: tp = 10.0, fp = 4.0, tn = 9.0, fn = 9.0, acc = 0.5938, mcc = 0.216444 
2023-12-19 15:04:25,386 INFO step 102: tp = 13.0, fp = 9.0, tn = 6.0, fn = 4.0, acc = 0.5938, mcc = 0.177324 
2023-12-19 15:04:26,388 INFO step 103: tp = 9.0, fp = 9.0, tn = 7.0, fn = 7.0, acc = 0.5000, mcc = 0.000000 
2023-12-19 15:04:27,516 INFO step 104: tp = 13.0, fp = 9.0, tn = 6.0, fn = 4.0, acc = 0.5938, mcc = 0.177324 
2023-12-19 15:04:28,677 INFO step 105: tp = 12.0, fp = 10.0, tn = 5.0, fn = 5.0, acc = 0.5312, mcc = 0.042220 
2023-12-19 15:04:29,627 INFO step 106: tp = 9.0, fp = 13.0, tn = 3.0, fn = 7.0, acc = 0.3750, mcc = -0.269680 
2023-12-19 15:04:30,474 INFO step 107: tp = 18.0, fp = 9.0, tn = 2.0, fn = 3.0, acc = 0.6250, mcc = 0.050965 
2023-12-19 15:04:31,316 INFO step 108: tp = 13.0, fp = 12.0, tn = 2.0, fn = 5.0, acc = 0.4688, mcc = -0.161905 
2023-12-19 15:04:32,215 INFO step 109: tp = 19.0, fp = 12.0, tn = 0.0, fn = 1.0, acc = 0.5938, mcc = -0.139122 
2023-12-19 15:04:33,191 INFO step 110: tp = 15.0, fp = 15.0, tn = 2.0, fn = 0.0, acc = 0.5312, mcc = 0.242536 
2023-12-19 15:04:34,132 INFO step 111: tp = 19.0, fp = 11.0, tn = 0.0, fn = 2.0, acc = 0.5938, mcc = -0.186871 
2023-12-19 15:04:35,103 INFO step 112: tp = 11.0, fp = 19.0, tn = 0.0, fn = 2.0, acc = 0.3438, mcc = -0.312147 
2023-12-19 15:04:35,816 INFO step 113: tp = 12.0, fp = 20.0, tn = 0.0, fn = 0.0, acc = 0.3750, mcc = 0.000000 
2023-12-19 15:04:36,625 INFO step 114: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-19 15:04:37,421 INFO step 115: tp = 17.0, fp = 14.0, tn = 1.0, fn = 0.0, acc = 0.5625, mcc = 0.191204 
2023-12-19 15:04:38,076 INFO step 116: tp = 11.0, fp = 16.0, tn = 2.0, fn = 3.0, acc = 0.4062, mcc = -0.140963 
2023-12-19 15:04:38,905 INFO step 117: tp = 16.0, fp = 10.0, tn = 6.0, fn = 0.0, acc = 0.6875, mcc = 0.480384 
2023-12-19 15:04:39,779 INFO step 118: tp = 10.0, fp = 14.0, tn = 4.0, fn = 4.0, acc = 0.4375, mcc = -0.072739 
2023-12-19 15:04:40,752 INFO step 119: tp = 15.0, fp = 10.0, tn = 2.0, fn = 5.0, acc = 0.5312, mcc = -0.097590 
2023-12-19 15:04:41,490 INFO step 120: tp = 14.0, fp = 6.0, tn = 6.0, fn = 6.0, acc = 0.6250, mcc = 0.200000 
2023-12-19 15:04:41,624 INFO step/epoch: 120/1, training samples: 3872, train_loss = 0.9040 train_acc = 0.523502
2023-12-19 15:04:42,348 INFO step 121: tp = 10.0, fp = 11.0, tn = 6.0, fn = 5.0, acc = 0.5000, mcc = 0.020601 
2023-12-19 15:04:42,944 INFO step 122: tp = 11.0, fp = 10.0, tn = 3.0, fn = 8.0, acc = 0.4375, mcc = -0.196763 
2023-12-19 15:04:43,841 INFO step 123: tp = 9.0, fp = 8.0, tn = 9.0, fn = 6.0, acc = 0.5625, mcc = 0.129412 
2023-12-19 15:04:44,642 INFO step 124: tp = 15.0, fp = 6.0, tn = 6.0, fn = 5.0, acc = 0.6562, mcc = 0.254824 
2023-12-19 15:04:45,372 INFO step 125: tp = 11.0, fp = 10.0, tn = 6.0, fn = 5.0, acc = 0.5312, mcc = 0.065795 
2023-12-19 15:04:46,094 INFO step 126: tp = 16.0, fp = 9.0, tn = 5.0, fn = 2.0, acc = 0.6562, mcc = 0.295238 
2023-12-19 15:04:46,781 INFO step 127: tp = 13.0, fp = 11.0, tn = 5.0, fn = 3.0, acc = 0.5625, mcc = 0.144338 
2023-12-19 15:04:47,564 INFO step 128: tp = 13.0, fp = 16.0, tn = 0.0, fn = 3.0, acc = 0.4062, mcc = -0.321634 
2023-12-19 15:04:48,393 INFO step 129: tp = 11.0, fp = 15.0, tn = 4.0, fn = 2.0, acc = 0.4688, mcc = 0.071321 
2023-12-19 15:04:49,091 INFO step 130: tp = 14.0, fp = 10.0, tn = 4.0, fn = 4.0, acc = 0.5625, mcc = 0.072739 
2023-12-19 15:04:49,881 INFO step 131: tp = 17.0, fp = 11.0, tn = 2.0, fn = 2.0, acc = 0.5938, mcc = 0.072148 
2023-12-19 15:04:50,651 INFO step 132: tp = 12.0, fp = 16.0, tn = 2.0, fn = 2.0, acc = 0.4375, mcc = -0.047619 
2023-12-19 15:04:51,345 INFO step 133: tp = 18.0, fp = 7.0, tn = 6.0, fn = 1.0, acc = 0.7500, mcc = 0.485796 
2023-12-19 15:04:52,144 INFO step 134: tp = 13.0, fp = 12.0, tn = 4.0, fn = 3.0, acc = 0.5312, mcc = 0.075593 
2023-12-19 15:04:52,882 INFO step 135: tp = 19.0, fp = 10.0, tn = 1.0, fn = 2.0, acc = 0.6250, mcc = -0.007054 
2023-12-19 15:04:53,590 INFO step 136: tp = 13.0, fp = 18.0, tn = 1.0, fn = 0.0, acc = 0.4375, mcc = 0.148564 
2023-12-19 15:04:54,253 INFO step 137: tp = 19.0, fp = 11.0, tn = 2.0, fn = 0.0, acc = 0.6562, mcc = 0.312147 
2023-12-19 15:04:54,976 INFO step 138: tp = 12.0, fp = 19.0, tn = 1.0, fn = 0.0, acc = 0.4062, mcc = 0.139122 
2023-12-19 15:04:55,632 INFO step 139: tp = 12.0, fp = 18.0, tn = 0.0, fn = 2.0, acc = 0.3750, mcc = -0.292770 
2023-12-19 15:04:56,238 INFO step 140: tp = 14.0, fp = 12.0, tn = 3.0, fn = 3.0, acc = 0.5312, mcc = 0.030083 
2023-12-19 15:04:56,379 INFO step/epoch: 140/1, training samples: 4512, train_loss = 0.9256 train_acc = 0.525044
2023-12-19 15:04:56,843 INFO step 141: tp = 17.0, fp = 7.0, tn = 6.0, fn = 2.0, acc = 0.7188, mcc = 0.404095 
2023-12-19 15:04:57,588 INFO step 142: tp = 16.0, fp = 13.0, tn = 3.0, fn = 0.0, acc = 0.5938, mcc = 0.321634 
2023-12-19 15:04:58,290 INFO step 143: tp = 14.0, fp = 9.0, tn = 3.0, fn = 6.0, acc = 0.5312, mcc = -0.053838 
2023-12-19 15:04:58,921 INFO step 144: tp = 16.0, fp = 12.0, tn = 4.0, fn = 0.0, acc = 0.6250, mcc = 0.377964 
2023-12-19 15:04:59,598 INFO step 145: tp = 10.0, fp = 14.0, tn = 5.0, fn = 3.0, acc = 0.4688, mcc = 0.036736 
2023-12-19 15:05:00,198 INFO step 146: tp = 11.0, fp = 11.0, tn = 4.0, fn = 6.0, acc = 0.4688, mcc = -0.092884 
2023-12-19 15:05:00,929 INFO step 147: tp = 11.0, fp = 13.0, tn = 4.0, fn = 4.0, acc = 0.4688, mcc = -0.036155 
2023-12-19 15:05:01,497 INFO step 148: tp = 8.0, fp = 8.0, tn = 12.0, fn = 4.0, acc = 0.6250, mcc = 0.258199 
2023-12-19 15:05:02,078 INFO step 149: tp = 14.0, fp = 4.0, tn = 6.0, fn = 8.0, acc = 0.6250, mcc = 0.220847 
2023-12-19 15:05:02,709 INFO step 150: tp = 9.0, fp = 6.0, tn = 11.0, fn = 6.0, acc = 0.6250, mcc = 0.247059 
2023-12-19 15:05:03,298 INFO step 151: tp = 13.0, fp = 9.0, tn = 4.0, fn = 6.0, acc = 0.5312, mcc = -0.008580 
2023-12-19 15:05:03,884 INFO step 152: tp = 10.0, fp = 9.0, tn = 7.0, fn = 6.0, acc = 0.5312, mcc = 0.063628 
2023-12-19 15:05:04,540 INFO step 153: tp = 14.0, fp = 7.0, tn = 7.0, fn = 4.0, acc = 0.6562, mcc = 0.290129 
2023-12-19 15:05:05,192 INFO step 154: tp = 10.0, fp = 12.0, tn = 6.0, fn = 4.0, acc = 0.5000, mcc = 0.050965 
2023-12-19 15:05:37,613 INFO eval tp = 310.0, fp = 330.0, tn = 0.0, fn = 0.0
2023-12-19 15:05:37,613 INFO epoch 0,eval_time: 32.08 secs, eval_samples: 640.0
 eval_acc = 0.4844, eval_mcc = 0.000000 
2023-12-19 15:05:37,613 INFO new best model saved
2023-12-19 15:05:37,632 INFO ------------------Epoch: 2/15 start------------------
2023-12-19 15:05:47,286 INFO step 155: tp = 10.0, fp = 16.0, tn = 4.0, fn = 2.0, acc = 0.4375, mcc = 0.041345 
2023-12-19 15:05:58,450 INFO step 156: tp = 9.0, fp = 11.0, tn = 7.0, fn = 5.0, acc = 0.5000, mcc = 0.032530 
2023-12-19 15:06:04,471 INFO step 157: tp = 14.0, fp = 7.0, tn = 3.0, fn = 8.0, acc = 0.5312, mcc = -0.062103 
2023-12-19 15:06:14,683 INFO step 158: tp = 10.0, fp = 8.0, tn = 5.0, fn = 9.0, acc = 0.4688, mcc = -0.088181 
2023-12-19 15:06:19,417 INFO step 159: tp = 11.0, fp = 9.0, tn = 8.0, fn = 4.0, acc = 0.5938, mcc = 0.210198 
2023-12-19 15:06:22,022 INFO step 160: tp = 15.0, fp = 5.0, tn = 6.0, fn = 6.0, acc = 0.6562, mcc = 0.254824 
2023-12-19 15:06:22,210 INFO step/epoch: 160/2, training samples: 5152, train_loss = 0.8824 train_acc = 0.529115
2023-12-19 15:06:27,069 INFO step 161: tp = 15.0, fp = 10.0, tn = 5.0, fn = 2.0, acc = 0.6250, mcc = 0.260360 
2023-12-19 15:06:31,662 INFO step 162: tp = 13.0, fp = 13.0, tn = 2.0, fn = 4.0, acc = 0.4688, mcc = -0.130359 
2023-12-19 15:06:34,935 INFO step 163: tp = 14.0, fp = 14.0, tn = 3.0, fn = 1.0, acc = 0.5312, mcc = 0.165683 
2023-12-19 15:06:39,335 INFO step 164: tp = 18.0, fp = 12.0, tn = 1.0, fn = 1.0, acc = 0.5938, mcc = 0.049286 
2023-12-19 15:06:42,271 INFO step 165: tp = 18.0, fp = 10.0, tn = 2.0, fn = 2.0, acc = 0.6250, mcc = 0.097590 
2023-12-19 15:06:46,524 INFO step 166: tp = 18.0, fp = 13.0, tn = 1.0, fn = 0.0, acc = 0.5938, mcc = 0.203653 
2023-12-19 15:06:48,259 INFO step 167: tp = 13.0, fp = 19.0, tn = 0.0, fn = 0.0, acc = 0.4062, mcc = 0.000000 
2023-12-19 15:06:52,087 INFO step 168: tp = 18.0, fp = 13.0, tn = 0.0, fn = 1.0, acc = 0.5625, mcc = -0.148564 
2023-12-19 15:06:56,628 INFO step 169: tp = 15.0, fp = 15.0, tn = 2.0, fn = 0.0, acc = 0.5312, mcc = 0.242536 
2023-12-19 15:07:00,169 INFO step 170: tp = 17.0, fp = 15.0, tn = 0.0, fn = 0.0, acc = 0.5312, mcc = 0.000000 
2023-12-19 15:07:02,486 INFO step 171: tp = 15.0, fp = 16.0, tn = 1.0, fn = 0.0, acc = 0.5000, mcc = 0.168710 
2023-12-19 15:07:03,996 INFO step 172: tp = 18.0, fp = 13.0, tn = 1.0, fn = 0.0, acc = 0.5938, mcc = 0.203653 
2023-12-19 15:07:06,630 INFO step 173: tp = 17.0, fp = 11.0, tn = 2.0, fn = 2.0, acc = 0.5938, mcc = 0.072148 
2023-12-19 15:07:08,714 INFO step 174: tp = 14.0, fp = 14.0, tn = 3.0, fn = 1.0, acc = 0.5312, mcc = 0.165683 
2023-12-19 15:07:10,610 INFO step 175: tp = 15.0, fp = 11.0, tn = 3.0, fn = 3.0, acc = 0.5625, mcc = 0.060523 
2023-12-19 15:07:12,579 INFO step 176: tp = 14.0, fp = 15.0, tn = 1.0, fn = 2.0, acc = 0.4688, mcc = -0.107211 
2023-12-19 15:07:15,250 INFO step 177: tp = 12.0, fp = 14.0, tn = 4.0, fn = 2.0, acc = 0.5000, mcc = 0.100871 
